mcl(2)Z3534	FBgn0069177
Su(Ste):CR40820	FBgn0085523
Mes4	FBgn0034726
CG8298	FBgn0033673
CG14317	FBgn0038566
AIMP3	FBgn0050185
fs(1)A125	FBgn0000741
l(2)k05204	FBgn0022186
Menl-2	FBgn0029153
l(2)44Fo	FBgn0061501
l(3)00836	FBgn0010730
CG6707	FBgn0036058
mir-9371	FBgn0283554
Tim8	FBgn0027359
CG32246	FBgn0052246
CG41493	FBgn0085654
CG40399	FBgn0058399
CG15864	FBgn0040528
l(1)G0372	FBgn0029061
l(1)Q237	FBgn0011159
l(3)s1922	FBgn0011014
eg-1	FBgn0015935
CG17455	FBgn0039978
CG31301	FBgn0051301
rtv	FBgn0261277
crisp	FBgn0004995
CG8206	FBgn0030679
vizhichai	FBgn0043852
CG42514	FBgn0260388
l(3)S042008	FBgn0060930
l(1)Q13	FBgn0011060
Spn88Ea	FBgn0028984
fof	FBgn0042642
T:CRAT-PTS1	FBgn0267847
fs(1)A436	FBgn0000755
l(3)S111105	FBgn0060479
l(3)CHa	FBgn0086417
l(3)ry82	FBgn0013571
CR44792	FBgn0266027
smh	FBgn0003440
Vha100-3	FBgn0028669
Nufip	FBgn0036812
tRNA:Gly-GCC-1-10	FBgn0011869
l(2)SH2334	FBgn0065190
l(1)14Ce	FBgn0014198
BG00010	FBgn0263938
Su(rst)D207	FBgn0043994
mir-10	FBgn0262424
ms(2)29F	FBgn0011245
maz	FBgn0025744
CR44198	FBgn0265087
stu	FBgn0003543
CG6762	FBgn0030876
fs(1)M43	FBgn0000853
CG15800	FBgn0034904
CG8646	FBgn0033763
CG30268	FBgn0050268
snRNA:U2:14B	FBgn0003920
Pp1-Y1	FBgn0261399
mir-34	FBgn0262459
l(3)S092405	FBgn0028064
l(1)carot14	FBgn0001596
Ir41a	FBgn0040849
l(3)SG4	FBgn0002451
CR45700	FBgn0267264
anon-12Db	FBgn0020608
CR43360	FBgn0263092
snoRNA:Me28S-G2703c	FBgn0082929
CR46209	FBgn0267928
l(2)s1878	FBgn0010680
fr	FBgn0000724
BG01707	FBgn0086405
CG13063	FBgn0036601
l(3)02727a	FBgn0062531
l(1)Q11	FBgn0011058
big	FBgn0015913
l(3)68Ag	FBgn0002227
Cyp4d21	FBgn0031925
CG31517	FBgn0047199
COM	FBgn0069052
a(1)HM27	FBgn0004932
CR45194	FBgn0266704
l(3)LVC73	FBgn0263878
mahj	FBgn0034641
snoRNA:Psi28S-1192b	FBgn0083000
CR44384	FBgn0265534
Pmm45A	FBgn0033377
Ac78C	FBgn0024150
Oga	FBgn0038870
E(lt[v])335	FBgn0026091
CG32302	FBgn0052302
E(smoDN)986	FBgn0083257
CG44836	FBgn0266099
CG12948	FBgn0037739
CR45253	FBgn0266788
BG01700	FBgn0263961
anon-58Fd	FBgn0025339
l(1)G0137	FBgn0027298
l(1)EA65	FBgn0017379
CR41598	FBgn0085811
CG6686	FBgn0032388
l(2)60A-M	FBgn0027181
CG4250	FBgn0034761
CG41485	FBgn0084045
l(1)12Ba	FBgn0015406
l(1)ESHS42	FBgn0001721
mir-303	FBgn0262390
sei	FBgn0003353
CG31813	FBgn0051813
CG1824	FBgn0030403
CG13970	FBgn0032851
2L0419	FBgn0260121
ros	FBgn0015536
CG17003	FBgn0031082
CR46014	FBgn0267678
mpl-2	FBgn0016040
CG17474	FBgn0039985
CG14743	FBgn0033326
B0531	FBgn0259623
HmpII	FBgn0023499
sqa	FBgn0259678
Ata	FBgn0004977
CG30401	FBgn0050401
l(3)S042806b	FBgn0060912
CG10418	FBgn0036277
CG6015	FBgn0038927
E(Mer)IIb	FBgn0044873
CG13558	FBgn0034869
X11Lbeta	FBgn0052677
pom	FBgn0005687
CG4984	FBgn0034267
CR46031	FBgn0267695
2L3696	FBgn0260085
l(2)SH0526	FBgn0065741
arbl	FBgn0064193
l(3)S042606	FBgn0060918
Lsd-1::Lsd-2	FBgn0265395
Gr5a	FBgn0003747
tr261	FBgn0005364
hip57	FBgn0025931
l(?)A135	FBgn0027121
5SrRNA:CR33379	FBgn0053379
l(2)SH0390	FBgn0065807
fs(1)M91	FBgn0000892
E(rst)C162	FBgn0044114
