DGRP-642	FBsn0000142
DGRP-21	FBsn0000006
DGRP-49	FBsn0000014
DGRP-796	FBsn0000168
DGRP-237	FBsn0000050
DGRP-256	FBsn0000052
DGRP-405	FBsn0000109
DGRP-857	FBsn0000190
DGRP-721	FBsn0000150
DGRP-502	FBsn0000124
DGRP-757	FBsn0000158
DGRP-563	FBsn0000136
DGRP-900	FBsn0000201
BOG_3	FBsn0000226
TW_3	FBsn0000252
DGRP-911	FBsn0000204
DGRP-765	FBsn0000160
TW_1	FBsn0000250
DGRP-509	FBsn0000126
Malawi-56-2-3	FBsn0000218
Sexi	FBsn0000305
DGRP-315	FBsn0000064
DGRP-387	FBsn0000103
DGRP-367	FBsn0000088
DGRP-239	FBsn0000051
DGRP_Flyland	FBsn0000284
DGRP-301	FBsn0000056
DGRP-310	FBsn0000062
DGRP-338	FBsn0000075
DGRP-491	FBsn0000122
DGRP-321	FBsn0000069
DGRP-176	FBsn0000037
DGRP-57	FBsn0000015
DGRP-392	FBsn0000105
Samarkand	FBsn0000278
DGRP-109	FBsn0000028
DGRP-350	FBsn0000078
DGRP-358	FBsn0000082
VAG_3	FBsn0000255
DGRP-409	FBsn0000111
DGRP-820	FBsn0000179
DGRP-343	FBsn0000077
DGRP-705	FBsn0000145
Wild_5C	FBsn0000270
DGRP-75	FBsn0000019
DGRP-505	FBsn0000295
DGRP-100	FBsn0000288
Urbana-S	FBsn0000282
DGRP-332	FBsn0000072
DGRP-850	FBsn0000186
DGRP-355	FBsn0000291
CO_4	FBsn0000231
Wild_2C	FBsn0000264
Wild_3A	FBsn0000266
Wild_5A	FBsn0000268
DGRP-913	FBsn0000205
DGRP-513	FBsn0000127
Wild_10E	FBsn0000257
MO_1	FBsn0000237
DGRP-101	FBsn0000026
DGRP-233	FBsn0000048
KSA2	FBsn0000233
Oregon-R	FBsn0000276
TW_2	FBsn0000251
DGRP-105	FBsn0000027
DGRP-370	FBsn0000089
DGRP-373	FBsn0000091
Malawi-46-1	FBsn0000212
DGRP-492	FBsn0000123
DGRP-771	FBsn0000161
DGRP-716	FBsn0000149
Reids_3	FBsn0000247
DGRP-397	FBsn0000294
DGRP-391	FBsn0000104
VAG1	FBsn0000253
DGRP-325	FBsn0000071
DGRP-818	FBsn0000177
DGRP-361	FBsn0000085
DGRP-486	FBsn0000121
DGRP-810	FBsn0000175
DGRP-149	FBsn0000033
DGRP-440	FBsn0000116
DGRP-819	FBsn0000178
DGRP-703	FBsn0000144
DGRP-375	FBsn0000093
DGRP-374	FBsn0000092
DGRP-129	FBsn0000029
DGRP-853	FBsn0000188
DGRP-32	FBsn0000286
DGRP-738	FBsn0000155
DGRP-362	FBsn0000086
DGRP-320	FBsn0000068
BOG1	FBsn0000224
DGRP-83	FBsn0000021
DGRP-761	FBsn0000159
Reids_2	FBsn0000246
DGRP-31	FBsn0000285
DGRP-393	FBsn0000106
Malawi-9-1	FBsn0000207
Stephenville	FBsn0000279
DGRP-41	FBsn0000011
DGRP-821	FBsn0000180
KSA_3	FBsn0000234
Wild_11D	FBsn0000260
DGRP-88	FBsn0000023
DGRP-855	FBsn0000189
DGRP-38	FBsn0000009
CA1	FBsn0000229
DGRP-555	FBsn0000134
DGRP-59	FBsn0000016
RVC_2	FBsn0000248
DGRP-441	FBsn0000117
DGRP-357	FBsn0000081
DGRP-584	FBsn0000137
RVC_4	FBsn0000249
DGRP-748	FBsn0000156
DGRP-894	FBsn0000199
Harwich	FBsn0000304
Austin	FBsn0000273
DGRP-426	FBsn0000112
DGRP-861	FBsn0000192
DGRP-634	FBsn0000303
DGRP-354	FBsn0000290
DGRP-158	FBsn0000035
DGRP-317	FBsn0000065
DGRP-377	FBsn0000094
DGRP-535	FBsn0000132
PYR_3	FBsn0000242
DGRP-28	FBsn0000008
DGRP-730	FBsn0000152
Wild_5B	FBsn0000269
DGRP-801	FBsn0000170
DGRP-589	FBsn0000138
DGRP-786	FBsn0000165
DGRP-832	FBsn0000182
Lausanne-S	FBsn0000275
DGRP-181	FBsn0000039
DGRP-879	FBsn0000193
PVM	FBsn0000240
DGRP-223	FBsn0000044
DGRP-161	FBsn0000036
DGRP-383	FBsn0000100
Wild_9A	FBsn0000271
DGRP-360	FBsn0000084
Wild_2A	FBsn0000263
Malawi-11-1	FBsn0000208
DGRP-365	FBsn0000087
DGRP-908	FBsn0000203
DGRP-528	FBsn0000296
DGRP-335	FBsn0000073
DGRP-892	FBsn0000198
DGRP-882	FBsn0000194
BER_2	FBsn0000223
DGRP-551	FBsn0000297
Reids_1	FBsn0000245
Malawi-25-1	FBsn0000213
DGRP-45	FBsn0000013
DGRP-776	FBsn0000163
DGRP-307	FBsn0000060
DGRP-727	FBsn0000151
DGRP-837	FBsn0000183
DGRP-142	FBsn0000032
DGRP-385	FBsn0000101
DGRP-195	FBsn0000041
MWA_1	FBsn0000238
DGRP-559	FBsn0000298
DGRP-646	FBsn0000143
DGRP-812	FBsn0000176
NO_1	FBsn0000239
Wild_10D	FBsn0000256
DGRP-398	FBsn0000107
DGRP-639	FBsn0000141
DGRP-304	FBsn0000058
BS1	FBsn0000227
DGRP-399	FBsn0000108
Wild_11A	FBsn0000258
DGRP-379	FBsn0000096
Malawi-63-1	FBsn0000211
Malawi-63-2-3	FBsn0000220
RC_1	FBsn0000244
MV2-25	FBsn0000283
Malawi-28-1	FBsn0000209
DGRP-306	FBsn0000059
M5	FBsn0000236
DGRP-42	FBsn0000012
DGRP-217	FBsn0000043
DGRP-808	FBsn0000174
DGRP-907	FBsn0000202
DGRP-336	FBsn0000074
DGRP-595	FBsn0000140
DGRP-804	FBsn0000172
DGRP-69	FBsn0000017
DGRP-280	FBsn0000054
Malawi-9-2	FBsn0000215
DGRP-890	FBsn0000197
CO3	FBsn0000230
DGRP-319	FBsn0000067
BV1	FBsn0000228
DGRP-352	FBsn0000079
DGRP-884	FBsn0000195
DGRP-591	FBsn0000139
DGRP-229	FBsn0000047
DGRP-887	FBsn0000196
DGRP-476	FBsn0000120
DGRP-750	FBsn0000157
DGRP-859	FBsn0000191
DGRP-437	FBsn0000114
CO_7	FBsn0000232
DGRP-177	FBsn0000038
Wild_2D	FBsn0000265
DGRP-390	FBsn0000292
DGRP-531	FBsn0000131
DGRP-228	FBsn0000046
Sexi.6	FBsn0000306
DGRP-843	FBsn0000184
DGRP-91	FBsn0000024
BOG_2	FBsn0000225
QI2	FBsn0000243
Wild_1A	FBsn0000261
DGRP-732	FBsn0000153
Oregon-R-modENCODE	FBsn0000001
DGRP-227	FBsn0000045
DGRP-822	FBsn0000181
Wild_11C	FBsn0000259
DGRP-324	FBsn0000070
DGRP-340	FBsn0000076
BER1	FBsn0000222
DGRP-380	FBsn0000097
DGRP-381	FBsn0000098
DGRP-805	FBsn0000173
Malawi-38-2	FBsn0000217
Oregon-R-Elgin	FBsn0000003
Wild_3B	FBsn0000267
DGRP-714	FBsn0000148
DGRP-85	FBsn0000022
DGRP-443	FBsn0000118
DGRP-712	FBsn0000147
iso-1	FBsn0000272
DGRP-138	FBsn0000031
VAG_2	FBsn0000254
Oregon-R-P2	FBsn0000005
DGRP-382	FBsn0000099
DGRP-554	FBsn0000133
DGRP-309	FBsn0000061
Swedish-c	FBsn0000281
DGRP-40	FBsn0000010
DGRP-774	FBsn0000162
DGRP-427	FBsn0000113
Malawi-6-1	FBsn0000206
DGRP-627	FBsn0000301
DGRP-556	FBsn0000135
DGRP-371	FBsn0000090
DGRP-790	FBsn0000167
DGRP-208	FBsn0000042
DGRP-849	FBsn0000185
Oregon-R-C	FBsn0000277
DGRP-26	FBsn0000007
DGRP-80	FBsn0000020
DGRP-707	FBsn0000146
PYR2	FBsn0000241
DGRP-287	FBsn0000055
DGRP-386	FBsn0000102
DGRP-348	FBsn0000289
DGRP-802	FBsn0000171
Swedish-b	FBsn0000280
DGRP-189	FBsn0000040
DGRP-313	FBsn0000063
DGRP-566	FBsn0000299
DGRP-73	FBsn0000018
DGRP-783	FBsn0000164
DGRP-153	FBsn0000034
DGRP-461	FBsn0000119
DGRP-897	FBsn0000200
DGRP-799	FBsn0000169
DGRP-359	FBsn0000083
DGRP-318	FBsn0000066
DGRP-852	FBsn0000187
Malawi-38-1	FBsn0000210
DGRP-272	FBsn0000053
DGRP-356	FBsn0000080
DGRP-136	FBsn0000030
Oregon-R-Orr-Weaver	FBsn0000002
DGRP-235	FBsn0000049
Malawi-27-3	FBsn0000221
